estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
401,354,8,"(4, 2694)","(4, 64)",1347,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
402,354,16,"(4,)","(8,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
403,354,16,"(4, 2694)","(1, 8)",1348,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
404,354,16,"(4,)","(16,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
405,354,16,"(4, 2694)","(1, 16)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
406,354,16,"(4,)","(32,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
407,354,16,"(4, 2694)","(1, 32)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
408,354,16,"(4,)","(64,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
409,354,16,"(4, 2694)","(1, 64)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
410,354,16,"(4,)","(128,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
411,354,16,"(4, 2694)","(1, 128)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
412,354,16,"(4,)","(256,)",1,2.6765454545454545e-05,1119.9830232321174,Trip_Count
413,354,16,"(4, 2694)","(1, 256)",676,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
414,354,16,"(4, 2694)","(2, 4)",1348,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
415,354,16,"(4, 2694)","(2, 8)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
416,354,16,"(4, 2694)","(2, 16)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
417,354,16,"(4, 2694)","(2, 32)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
418,354,16,"(4, 2694)","(2, 64)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
419,354,16,"(4, 2694)","(2, 128)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
420,354,16,"(4, 2694)","(4, 2)",1347,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
421,354,16,"(4, 2694)","(4, 4)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
422,354,16,"(4, 2694)","(4, 8)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
423,354,16,"(4, 2694)","(4, 16)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
424,354,16,"(4, 2694)","(4, 32)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
425,354,16,"(4, 2694)","(4, 64)",674,6.005454545454546e-06,4991.604627611262,"Launch_Tax, Latencies, Compute"
426,354,32,"(4,)","(8,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
427,354,32,"(4, 2694)","(1, 8)",1348,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
428,354,32,"(4,)","(16,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
429,354,32,"(4, 2694)","(1, 16)",676,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
430,354,32,"(4,)","(32,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
431,354,32,"(4, 2694)","(1, 32)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
432,354,32,"(4,)","(64,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
433,354,32,"(4, 2694)","(1, 64)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
434,354,32,"(4,)","(128,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
435,354,32,"(4, 2694)","(1, 128)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
436,354,32,"(4,)","(256,)",1,4.759181818181818e-05,629.8741221753166,Trip_Count
437,354,32,"(4, 2694)","(1, 256)",340,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
438,354,32,"(4, 2694)","(2, 4)",1348,6.711818181818182e-06,4466.279313287281,"Launch_Tax, Compute"
439,354,32,"(4, 2694)","(2, 8)",674,6.240909090909091e-06,4803.283345957757,"Launch_Tax, Compute"
440,354,32,"(4, 2694)","(2, 16)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
441,354,32,"(4, 2694)","(2, 32)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
442,354,32,"(4, 2694)","(2, 64)",338,5.971818181818182e-06,5019.719922362612,"Launch_Tax, Latencies, Compute"
